Uniqe_ID,Lat,Lon,D15N_Type,Measured_D15N,Predicted
WS_75_Afono,-14.257962,-170.651814,RF,6.2,10.4
WS_35_Alega,-14.280355,-170.637827,RF,3.8,7.8
WS_58_Aoa,-14.261676,-170.586659,RF,9.5,9.3
WS_77_Pago Pago Harbor,-14.271477,-170.665407,RF,10.6,10.0
WS_9_Fagaalu,-14.291617,-170.682615,RF,4.9,9.3
WS_85_Fagasa,-14.287783,-170.724386,RF,5.3,8.8
WS_66_Fagatele - Larsen,-14.363519,-170.764407,RF,0.8,3.8
WS_17_Leone,-14.337513,-170.787905,RF,7.0,10.5
WS_25_Nuuuli Pala,-14.311327,-170.697018,RF,3.7,9.3
WS_90_Vatia,-14.25091,-170.672533,RF,3.2,7.2
WS_91_Vatia,-14.25055,-170.675204,RF,10.1,9.4
WS_75_Afono,-14.25275,-170.64335,RF,5.1,10.4
WS_75_Afono,-14.259043,-170.651612,Stream,8.8,10.4
WS_35_Alega,-14.279879,-170.637811,Stream,3.4,7.8
WS_41_Fagaitua,-14.276094,-170.603177,Stream,7.6,10.1
WS_58_Aoa,-14.261159,-170.586556,Stream,11.6,9.3
WS_77_Pago Pago Harbor,-14.2707,-170.664986,Stream,9.6,10.0
WS_9_Fagaalu,-14.291405,-170.683762,Stream,5.3,9.3
WS_85_Fagasa,-14.288163,-170.724372,Stream,4.8,8.8
WS_82_Fagasa,-14.285985,-170.720485,Stream,5.9,9.0
WS_66_Fagatele - Larsen,-14.363004,-170.759801,Stream,2.7,3.8
WS_17_Leone,-14.335437,-170.786173,Stream,11.8,10.5
WS_74_Masefau,-14.255492,-170.632143,Stream,5.9,8.7
WS_25_Nuuuli Pala,-14.310904,-170.69734,Stream,6.3,9.3
WS_90_Vatia,-14.251433,-170.672637,Stream,14.3,7.2
WS_91_Vatia,-14.250759,-170.675608,Stream,2.3,9.4
WS_94_Fagatuitui - Vaaogeoge,-14.253838,-170.688641,Stream,0.9,4.0
